 python train.py config/train_mitos.py
Overriding config with config/train_mitos.py:
# train a miniature character-level mitos model
# good for debugging and playing on macbooks and such

out_dir = 'out-mitos'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'mitos'
wandb_run_name = 'mini-gpt'

dataset = 'mitos'
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
device = 'cuda'  # run on cpu only
compile = False # do not torch compile the model

use_lora = False
found vocab_size = 182 (inside data/mitos/meta.pkl)
Initializing a new model from scratch
WARNING: using slow attention. Flash Attention atm needs PyTorch nightly and dropout=0.0
WARNING: using slow attention. Flash Attention atm needs PyTorch nightly and dropout=0.0
WARNING: using slow attention. Flash Attention atm needs PyTorch nightly and dropout=0.0
WARNING: using slow attention. Flash Attention atm needs PyTorch nightly and dropout=0.0
WARNING: using slow attention. Flash Attention atm needs PyTorch nightly and dropout=0.0
WARNING: using slow attention. Flash Attention atm needs PyTorch nightly and dropout=0.0
number of parameters: 10.69M
using fused AdamW: True
step 0: train loss 5.2213, val loss 5.2199
iter 0: loss 5.2389, time 39098.19ms, mfu -100.00%
iter 10: loss 3.9133, time 6704.74ms, mfu 2.23%
iter 20: loss 3.2985, time 6714.63ms, mfu 2.23%
iter 30: loss 2.8257, time 6710.86ms, mfu 2.23%
iter 40: loss 2.6166, time 6712.34ms, mfu 2.23%
iter 50: loss 2.5448, time 6713.36ms, mfu 2.23%
iter 60: loss 2.5299, time 6713.80ms, mfu 2.23%
iter 70: loss 2.5208, time 6713.05ms, mfu 2.23%
iter 80: loss 2.4951, time 6713.14ms, mfu 2.23%
iter 90: loss 2.4534, time 6791.97ms, mfu 2.23%
iter 100: loss 2.3818, time 6704.00ms, mfu 2.23%
iter 110: loss 2.3382, time 6704.10ms, mfu 2.23%
iter 120: loss 2.2845, time 6706.08ms, mfu 2.23%
iter 130: loss 2.2297, time 6707.69ms, mfu 2.23%
iter 140: loss 2.0910, time 6704.21ms, mfu 2.23%
iter 150: loss 2.0674, time 6704.23ms, mfu 2.23%
iter 160: loss 1.9451, time 6705.34ms, mfu 2.23%
iter 170: loss 1.8081, time 6703.09ms, mfu 2.23%
iter 180: loss 1.7164, time 6707.18ms, mfu 2.23%
iter 190: loss 1.6592, time 6703.58ms, mfu 2.23%
iter 200: loss 1.5393, time 6703.97ms, mfu 2.23%
iter 210: loss 1.4933, time 6704.29ms, mfu 2.23%
iter 220: loss 1.4683, time 6703.61ms, mfu 2.23%
iter 230: loss 1.3826, time 6703.30ms, mfu 2.23%
iter 240: loss 1.3391, time 6704.48ms, mfu 2.23%
step 250: train loss 1.1683, val loss 1.2242
saving checkpoint to out-mitos
iter 250: loss 1.3479, time 31434.12ms, mfu 2.06%
iter 260: loss 1.2878, time 6706.32ms, mfu 2.07%
iter 270: loss 1.2633, time 6703.23ms, mfu 2.09%
iter 280: loss 1.1852, time 6703.38ms, mfu 2.10%
iter 290: loss 1.2151, time 6708.42ms, mfu 2.12%
iter 300: loss 1.1222, time 6703.33ms, mfu 2.13%
iter 310: loss 1.1662, time 6703.84ms, mfu 2.14%
iter 320: loss 1.0864, time 6700.77ms, mfu 2.15%
iter 330: loss 1.0085, time 6703.41ms, mfu 2.16%
iter 340: loss 1.0091, time 6704.97ms, mfu 2.16%
iter 350: loss 1.0245, time 6704.03ms, mfu 2.17%
iter 360: loss 0.9745, time 6704.26ms, mfu 2.18%
iter 370: loss 0.9713, time 6704.87ms, mfu 2.18%
iter 380: loss 0.9083, time 6703.19ms, mfu 2.19%
iter 390: loss 0.9053, time 6702.91ms, mfu 2.19%
iter 400: loss 0.9786, time 6703.13ms, mfu 2.20%
iter 410: loss 0.9117, time 6703.66ms, mfu 2.20%
iter 420: loss 0.9021, time 6703.20ms, mfu 2.20%
iter 430: loss 0.8319, time 6705.42ms, mfu 2.21%
iter 440: loss 0.8852, time 6703.74ms, mfu 2.21%
iter 450: loss 0.8342, time 6703.93ms, mfu 2.21%
iter 460: loss 0.8562, time 6703.90ms, mfu 2.21%
iter 470: loss 0.7753, time 6704.57ms, mfu 2.21%
iter 480: loss 0.8250, time 6704.01ms, mfu 2.22%
iter 490: loss 0.8156, time 6703.13ms, mfu 2.22%
step 500: train loss 0.6874, val loss 0.8350
saving checkpoint to out-mitos
iter 500: loss 0.8282, time 31426.09ms, mfu 2.04%
iter 510: loss 0.7713, time 6702.41ms, mfu 2.06%
iter 520: loss 0.8310, time 6704.56ms, mfu 2.08%
iter 530: loss 0.7730, time 6703.53ms, mfu 2.09%
iter 540: loss 0.7359, time 6703.69ms, mfu 2.11%
iter 550: loss 0.7682, time 6704.42ms, mfu 2.12%
iter 560: loss 0.7333, time 6706.17ms, mfu 2.13%
iter 570: loss 0.6755, time 6704.26ms, mfu 2.14%
iter 580: loss 0.7445, time 6706.02ms, mfu 2.15%
iter 590: loss 0.7333, time 6705.53ms, mfu 2.16%
iter 600: loss 0.6860, time 6704.49ms, mfu 2.17%
iter 610: loss 0.7032, time 6705.90ms, mfu 2.17%
iter 620: loss 0.6670, time 6705.29ms, mfu 2.18%
iter 630: loss 0.7002, time 6705.35ms, mfu 2.18%
iter 640: loss 0.6893, time 6704.60ms, mfu 2.19%
iter 650: loss 0.6532, time 6709.42ms, mfu 2.19%
iter 660: loss 0.6251, time 6705.07ms, mfu 2.20%
iter 670: loss 0.6598, time 6703.59ms, mfu 2.20%
iter 680: loss 0.6984, time 6704.84ms, mfu 2.20%
iter 690: loss 0.6364, time 6704.27ms, mfu 2.21%
iter 700: loss 0.6844, time 6718.84ms, mfu 2.21%
iter 710: loss 0.6209, time 6704.34ms, mfu 2.21%
iter 720: loss 0.5500, time 6702.86ms, mfu 2.21%
iter 730: loss 0.6449, time 6705.97ms, mfu 2.21%
iter 740: loss 0.6311, time 6703.56ms, mfu 2.22%
step 750: train loss 0.5086, val loss 0.7600
saving checkpoint to out-mitos
iter 750: loss 0.6020, time 31426.25ms, mfu 2.04%
iter 760: loss 0.5460, time 6703.53ms, mfu 2.06%
iter 770: loss 0.5836, time 6703.30ms, mfu 2.08%
iter 780: loss 0.5816, time 6706.38ms, mfu 2.09%
iter 790: loss 0.5975, time 6703.56ms, mfu 2.11%
iter 800: loss 0.6305, time 6703.60ms, mfu 2.12%
iter 810: loss 0.5561, time 6703.04ms, mfu 2.13%
iter 820: loss 0.5236, time 6704.09ms, mfu 2.14%
iter 830: loss 0.5734, time 6702.81ms, mfu 2.15%
iter 840: loss 0.5728, time 6703.56ms, mfu 2.16%
iter 850: loss 0.5744, time 6703.59ms, mfu 2.17%
iter 860: loss 0.6075, time 6703.99ms, mfu 2.17%
iter 870: loss 0.5384, time 6706.07ms, mfu 2.18%
iter 880: loss 0.5521, time 6704.18ms, mfu 2.18%
iter 890: loss 0.5613, time 6704.13ms, mfu 2.19%
iter 900: loss 0.5356, time 6704.23ms, mfu 2.19%
iter 910: loss 0.5203, time 6704.39ms, mfu 2.20%
iter 920: loss 0.5638, time 6703.39ms, mfu 2.20%
iter 930: loss 0.5084, time 6704.64ms, mfu 2.20%
iter 940: loss 0.4690, time 6704.55ms, mfu 2.21%
iter 950: loss 0.5097, time 6706.82ms, mfu 2.21%
iter 960: loss 0.4358, time 6708.52ms, mfu 2.21%
iter 970: loss 0.5488, time 6704.29ms, mfu 2.21%
iter 980: loss 0.4921, time 6704.56ms, mfu 2.21%
iter 990: loss 0.5137, time 6712.92ms, mfu 2.22%
step 1000: train loss 0.3994, val loss 0.7441
saving checkpoint to out-mitos
iter 1000: loss 0.5644, time 31425.91ms, mfu 2.04%
iter 1010: loss 0.5170, time 6703.94ms, mfu 2.06%
iter 1020: loss 0.5537, time 6703.63ms, mfu 2.08%
iter 1030: loss 0.4878, time 6705.63ms, mfu 2.09%
iter 1040: loss 0.4866, time 6708.03ms, mfu 2.11%
iter 1050: loss 0.4543, time 6703.34ms, mfu 2.12%
iter 1060: loss 0.4676, time 6703.63ms, mfu 2.13%
iter 1070: loss 0.4897, time 6703.90ms, mfu 2.14%
iter 1080: loss 0.4994, time 6704.76ms, mfu 2.15%
iter 1090: loss 0.4838, time 6706.48ms, mfu 2.16%
iter 1100: loss 0.5143, time 6703.82ms, mfu 2.17%
iter 1110: loss 0.5012, time 6703.14ms, mfu 2.17%
iter 1120: loss 0.4694, time 6703.10ms, mfu 2.18%
iter 1130: loss 0.4837, time 6704.51ms, mfu 2.18%
iter 1140: loss 0.4484, time 6703.89ms, mfu 2.19%
iter 1150: loss 0.4528, time 6703.97ms, mfu 2.19%
iter 1160: loss 0.4628, time 6704.30ms, mfu 2.20%
iter 1170: loss 0.4696, time 6706.89ms, mfu 2.20%
iter 1180: loss 0.4670, time 6703.93ms, mfu 2.20%
iter 1190: loss 0.4207, time 6704.12ms, mfu 2.21%
iter 1200: loss 0.4494, time 6704.40ms, mfu 2.21%
iter 1210: loss 0.4358, time 6702.93ms, mfu 2.21%
iter 1220: loss 0.4791, time 6703.78ms, mfu 2.21%
iter 1230: loss 0.4254, time 6703.00ms, mfu 2.21%
iter 1240: loss 0.4654, time 6704.13ms, mfu 2.22%
step 1250: train loss 0.3350, val loss 0.7553
iter 1250: loss 0.4375, time 31259.96ms, mfu 2.04%
iter 1260: loss 0.4529, time 6713.07ms, mfu 2.06%
iter 1270: loss 0.4219, time 6704.03ms, mfu 2.08%
iter 1280: loss 0.4623, time 6704.70ms, mfu 2.09%
iter 1290: loss 0.4272, time 6703.80ms, mfu 2.11%
iter 1300: loss 0.4630, time 6704.25ms, mfu 2.12%
iter 1310: loss 0.4582, time 6706.96ms, mfu 2.13%
iter 1320: loss 0.4275, time 6704.06ms, mfu 2.14%
iter 1330: loss 0.4691, time 6701.75ms, mfu 2.15%
iter 1340: loss 0.4447, time 6704.01ms, mfu 2.16%
iter 1350: loss 0.4567, time 6703.76ms, mfu 2.17%
iter 1360: loss 0.4670, time 6705.51ms, mfu 2.17%
iter 1370: loss 0.4564, time 6704.95ms, mfu 2.18%
iter 1380: loss 0.4775, time 6704.00ms, mfu 2.18%
iter 1390: loss 0.4147, time 6706.25ms, mfu 2.19%
iter 1400: loss 0.4107, time 6703.88ms, mfu 2.19%
iter 1410: loss 0.3829, time 6703.88ms, mfu 2.20%
iter 1420: loss 0.3905, time 6703.85ms, mfu 2.20%
iter 1430: loss 0.4566, time 6703.82ms, mfu 2.20%
iter 1440: loss 0.4036, time 6704.09ms, mfu 2.21%
iter 1450: loss 0.4389, time 6704.51ms, mfu 2.21%
iter 1460: loss 0.3855, time 6703.88ms, mfu 2.21%
iter 1470: loss 0.3930, time 6705.20ms, mfu 2.21%
iter 1480: loss 0.3981, time 6705.63ms, mfu 2.21%
iter 1490: loss 0.3898, time 6704.31ms, mfu 2.22%
step 1500: train loss 0.2873, val loss 0.7710
iter 1500: loss 0.4381, time 31255.07ms, mfu 2.04%
iter 1510: loss 0.4599, time 6703.23ms, mfu 2.06%
iter 1520: loss 0.4152, time 6704.67ms, mfu 2.08%
iter 1530: loss 0.3962, time 6708.79ms, mfu 2.09%
iter 1540: loss 0.4139, time 6703.41ms, mfu 2.11%
iter 1550: loss 0.4563, time 6703.26ms, mfu 2.12%
iter 1560: loss 0.4669, time 6698.94ms, mfu 2.13%
iter 1570: loss 0.4052, time 6703.05ms, mfu 2.14%
iter 1580: loss 0.4045, time 6704.72ms, mfu 2.15%
iter 1590: loss 0.3774, time 6703.90ms, mfu 2.16%
iter 1600: loss 0.4278, time 6704.95ms, mfu 2.17%
iter 1610: loss 0.4129, time 6703.64ms, mfu 2.17%
iter 1620: loss 0.4008, time 6705.90ms, mfu 2.18%
iter 1630: loss 0.3818, time 6704.17ms, mfu 2.18%
iter 1640: loss 0.3567, time 6703.76ms, mfu 2.19%
iter 1650: loss 0.3666, time 6707.03ms, mfu 2.19%
iter 1660: loss 0.4070, time 6704.66ms, mfu 2.20%
iter 1670: loss 0.3988, time 6703.59ms, mfu 2.20%
iter 1680: loss 0.3666, time 6703.83ms, mfu 2.20%
iter 1690: loss 0.3894, time 6701.45ms, mfu 2.21%
iter 1700: loss 0.3727, time 6705.16ms, mfu 2.21%
iter 1710: loss 0.3765, time 6704.78ms, mfu 2.21%
iter 1720: loss 0.3420, time 6704.75ms, mfu 2.21%
iter 1730: loss 0.3831, time 6704.18ms, mfu 2.21%
iter 1740: loss 0.4006, time 6704.18ms, mfu 2.22%
step 1750: train loss 0.2541, val loss 0.7891
iter 1750: loss 0.3193, time 31256.74ms, mfu 2.04%
iter 1760: loss 0.3756, time 6704.20ms, mfu 2.06%
iter 1770: loss 0.3488, time 6704.94ms, mfu 2.08%
iter 1780: loss 0.3705, time 6695.78ms, mfu 2.09%
iter 1790: loss 0.3647, time 6704.89ms, mfu 2.11%
iter 1800: loss 0.3837, time 6704.86ms, mfu 2.12%
iter 1810: loss 0.3722, time 6703.78ms, mfu 2.13%
iter 1820: loss 0.3324, time 6703.42ms, mfu 2.14%
iter 1830: loss 0.3696, time 6704.13ms, mfu 2.15%
iter 1840: loss 0.3811, time 6706.58ms, mfu 2.16%
